module,file,line,method,route,backendMatches,runtime
"parking","mobile/lib/features/parking/parking.dart","39","PUT","/api/v1/parking-spots/${Uri.encodeComponent(existing.id)}","PUT /api/v1/parking-spots/{id}","NOT_TESTED"
"parking","mobile/lib/features/parking/parking.dart","43","DELETE","/api/v1/parking-spots/${Uri.encodeComponent(id)}","DELETE /api/v1/parking-spots/{id}","NOT_TESTED"
"parking","mobile/lib/features/parking/parking.dart","46","GET","/api/v1/parking-spots/${Uri.encodeComponent(id)}/assignment","GET /api/v1/parking-spots/{parkingSpotId}/assignment","NOT_TESTED"
"parking","mobile/lib/features/parking/parking.dart","52","POST","/api/v1/parking-spots/${Uri.encodeComponent(spotId)}/assignment","POST /api/v1/parking-spots/{parkingSpotId}/assignment","NOT_TESTED"
"parking","mobile/lib/features/parking/parking.dart","56","POST","/api/v1/parking-assignments/${Uri.encodeComponent(assignmentId)}/end","POST /api/v1/parking-assignments/{assignmentId}/end","NOT_TESTED"
"payments","mobile/lib/features/payments/data/payments_repository.dart","33","GET","/api/v1/rent-payments","GET /api/v1/rent-payments","NOT_TESTED"
"payments","mobile/lib/features/payments/data/payments_repository.dart","39","GET","/api/v1/tenant-portal/payments","GET /api/v1/tenant-portal/payments","NOT_TESTED"
"payments","mobile/lib/features/payments/data/payments_repository.dart","44","GET","/api/v1/rent-payments/${_id(id)}","GET /api/v1/rent-payments/{id}","NOT_TESTED"
"payments","mobile/lib/features/payments/data/payments_repository.dart","49","GET","/api/v1/owner/payments/pending-verifications","GET /api/v1/owner/payments/pending-verifications","NOT_TESTED"
"payments","mobile/lib/features/payments/data/payments_repository.dart","56","POST","/api/v1/owner/payments/${_id(paymentId)}/submissions/${_id(submissionId)}/approve","POST /api/v1/owner/payments/{id}/submissions/{submissionId}/approve","NOT_TESTED"
"payments","mobile/lib/features/payments/data/payments_repository.dart","65","POST","/api/v1/owner/payments/${_id(paymentId)}/submissions/${_id(submissionId)}/reject","POST /api/v1/owner/payments/{id}/submissions/{submissionId}/reject","NOT_TESTED"
"payments","mobile/lib/features/payments/data/payments_repository.dart","71","POST","/api/v1/tenant/payments/${_id(id)}/submit-verification","POST /api/v1/tenant/payments/{id}/submit-verification","NOT_TESTED"
"payments","mobile/lib/features/payments/data/payments_repository.dart","76","POST","/api/v1/rent-payments/${_id(id)}/remind","POST /api/v1/rent-payments/{id}/remind","NOT_TESTED"
"payments","mobile/lib/features/payments/data/payments_repository.dart","81","GET","/api/v1/rent-payments/${_id(id)}/receipt","GET /api/v1/rent-payments/{id}/receipt","NOT_TESTED"
"payments","mobile/lib/features/payments/data/payments_repository.dart","90","GET","/api/v1/files/${_id(id)}/download-url","GET /api/v1/files/{id}/download-url","NOT_TESTED"
"payments","mobile/lib/features/payments/data/payments_repository.dart","108","GET","/api/v1/tenant-portal/payments/${_id(id)}/settlement-statement","GET /api/v1/tenant-portal/payments/{id}/settlement-statement","NOT_TESTED"
"payments","mobile/lib/features/payments/data/payments_repository.dart","109","GET","/api/v1/rent-payments/${_id(id)}/settlement-statement","GET /api/v1/rent-payments/{id}/settlement-statement","NOT_TESTED"
"properties","mobile/lib/features/properties/data/properties_repository.dart","59","GET","/api/v1/buildings","GET /api/v1/buildings","NOT_TESTED"
"properties","mobile/lib/features/properties/data/properties_repository.dart","66","GET","/api/v1/buildings/${Uri.encodeComponent(buildingId)}/floors","GET /api/v1/buildings/{buildingId}/floors","NOT_TESTED"
"properties","mobile/lib/features/properties/data/properties_repository.dart","77","GET","/api/v1/apartments","GET /api/v1/apartments","NOT_TESTED"
"properties","mobile/lib/features/properties/data/properties_repository.dart","89","GET","/api/v1/buildings/${Uri.encodeComponent(id)}","GET /api/v1/buildings/{id}","NOT_TESTED"
"properties","mobile/lib/features/properties/data/properties_repository.dart","96","GET","/api/v1/floors/${Uri.encodeComponent(id)}","GET /api/v1/floors/{id}","NOT_TESTED"
"properties","mobile/lib/features/properties/data/properties_repository.dart","103","GET","/api/v1/apartments/${Uri.encodeComponent(id)}","GET /api/v1/apartments/{id}","NOT_TESTED"
"properties","mobile/lib/features/properties/data/properties_repository.dart","118","DELETE","/api/v1/${kind.name}/${Uri.encodeComponent(id)}","","NOT_TESTED"
"properties","mobile/lib/features/properties/presentation/property_editor_screen.dart","154","DYNAMIC","/api/v1/${widget.kind.name}/${Uri.encodeComponent(widget.record!.id)}","","NOT_TESTED"
"properties","mobile/lib/features/properties/presentation/property_editor_screen.dart","156","DYNAMIC","/api/v1/buildings","POST /api/v1/buildings | GET /api/v1/buildings","NOT_TESTED"
"properties","mobile/lib/features/properties/presentation/property_editor_screen.dart","158","DYNAMIC","/api/v1/buildings/${Uri.encodeComponent(widget.parentId!)}/floors","POST /api/v1/buildings/{buildingId}/floors | GET /api/v1/buildings/{buildingId}/floors","NOT_TESTED"
"properties","mobile/lib/features/properties/presentation/property_editor_screen.dart","160","DYNAMIC","/api/v1/floors/${Uri.encodeComponent(widget.parentId!)}/apartments","POST /api/v1/floors/{floorId}/apartments","NOT_TESTED"
"settings","mobile/lib/features/settings/settings.dart","42","GET","/api/v1/companies/me","GET /api/v1/companies/me","NOT_TESTED"
"settings","mobile/lib/features/settings/settings.dart","51","PUT","/api/v1/companies/${Uri.encodeComponent(id)}","PUT /api/v1/companies/{companyId}","NOT_TESTED"
"settings","mobile/lib/features/settings/settings.dart","63","GET","/api/v1/companies/${Uri.encodeComponent(id)}/settings","GET /api/v1/companies/{companyId}/settings","NOT_TESTED"
"settings","mobile/lib/features/settings/settings.dart","74","PUT","/api/v1/companies/${Uri.encodeComponent(id)}/settings","PUT /api/v1/companies/{companyId}/settings","NOT_TESTED"
"tenant_portal","mobile/lib/features/tenant_portal/data/tenant_portal_repository.dart","67","GET","/api/v1/tenant-portal/me","GET /api/v1/tenant-portal/me","NOT_TESTED"
"tenant_portal","mobile/lib/features/tenant_portal/data/tenant_portal_repository.dart","91","GET","/api/v1/tenant-portal/lease","GET /api/v1/tenant-portal/lease","NOT_TESTED"
"tenant_portal","mobile/lib/features/tenant_portal/utilities/tenant_utility_repository.dart","7","DYNAMIC","/api/v1/utility-bills/my","","NOT_TESTED"
